,run,p,reward,agent
612,26,0.7,-1.0,RA
613,26,0.7,0.0,SRA
614,26,0.7,0.0,HA
615,26,0.7,1.0,NSA
616,26,0.7,1.0,naive SA
617,26,0.7,1.0,advanced SA
618,26,0.6,-1.0,RA
619,26,0.6,0.0,SRA
620,26,0.6,0.0,HA
621,26,0.6,1.0,NSA
622,26,0.6,0.0,naive SA
623,26,0.6,1.0,advanced SA
624,27,0.9,0.0,RA
625,27,0.9,0.0,SRA
626,27,0.9,1.0,HA
627,27,0.9,1.0,NSA
628,27,0.9,1.0,naive SA
629,27,0.9,1.0,advanced SA
630,27,0.8,-1.0,RA
631,27,0.8,0.0,SRA
632,27,0.8,0.0,HA
633,27,0.8,1.0,NSA
634,27,0.8,1.0,naive SA
635,27,0.8,1.0,advanced SA
636,27,0.7,-1.0,RA
637,27,0.7,0.0,SRA
638,27,0.7,1.0,HA
639,27,0.7,1.0,NSA
640,27,0.7,0.0,naive SA
641,27,0.7,1.0,advanced SA
642,27,0.6,-1.0,RA
643,27,0.6,0.0,SRA
644,27,0.6,0.0,HA
645,27,0.6,1.0,NSA
646,27,0.6,0.0,naive SA
647,27,0.6,1.0,advanced SA
648,28,0.9,-1.0,RA
649,28,0.9,0.0,SRA
650,28,0.9,1.0,HA
651,28,0.9,1.0,NSA
652,28,0.9,0.0,naive SA
653,28,0.9,1.0,advanced SA
654,28,0.8,-1.0,RA
655,28,0.8,0.0,SRA
656,28,0.8,0.0,HA
657,28,0.8,1.0,NSA
658,28,0.8,0.0,naive SA
659,28,0.8,1.0,advanced SA
660,28,0.7,-1.0,RA
661,28,0.7,0.0,SRA
662,28,0.7,0.0,HA
663,28,0.7,1.0,NSA
664,28,0.7,0.0,naive SA
665,28,0.7,1.0,advanced SA
666,28,0.6,-1.0,RA
667,28,0.6,0.0,SRA
668,28,0.6,0.0,HA
669,28,0.6,1.0,NSA
670,28,0.6,0.0,naive SA
671,28,0.6,1.0,advanced SA
672,29,0.9,-1.0,RA
673,29,0.9,0.0,SRA
674,29,0.9,1.0,HA
675,29,0.9,1.0,NSA
676,29,0.9,1.0,naive SA
677,29,0.9,1.0,advanced SA
678,29,0.8,-1.0,RA
679,29,0.8,0.0,SRA
680,29,0.8,0.0,HA
681,29,0.8,1.0,NSA
682,29,0.8,1.0,naive SA
683,29,0.8,1.0,advanced SA
684,29,0.7,-1.0,RA
685,29,0.7,0.0,SRA
686,29,0.7,1.0,HA
687,29,0.7,1.0,NSA
688,29,0.7,0.0,naive SA
689,29,0.7,1.0,advanced SA
690,29,0.6,-1.0,RA
691,29,0.6,0.0,SRA
692,29,0.6,0.0,HA
693,29,0.6,1.0,NSA
694,29,0.6,0.0,naive SA
695,29,0.6,1.0,advanced SA
696,30,0.9,-1.0,RA
697,30,0.9,0.0,SRA
698,30,0.9,1.0,HA
699,30,0.9,1.0,NSA
700,30,0.9,1.0,naive SA
701,30,0.9,1.0,advanced SA
702,30,0.8,-1.0,RA
703,30,0.8,0.0,SRA
704,30,0.8,1.0,HA
705,30,0.8,1.0,NSA
706,30,0.8,1.0,naive SA
707,30,0.8,1.0,advanced SA
708,30,0.7,-1.0,RA
709,30,0.7,0.0,SRA
710,30,0.7,0.0,HA
711,30,0.7,1.0,NSA
712,30,0.7,1.0,naive SA
713,30,0.7,1.0,advanced SA
714,30,0.6,-1.0,RA
715,30,0.6,0.0,SRA
716,30,0.6,1.0,HA
717,30,0.6,1.0,NSA
718,30,0.6,0.0,naive SA
719,30,0.6,1.0,advanced SA
720,31,0.9,-1.0,RA
721,31,0.9,0.0,SRA
722,31,0.9,1.0,HA
723,31,0.9,1.0,NSA
724,31,0.9,0.0,naive SA
725,31,0.9,1.0,advanced SA
726,31,0.8,-1.0,RA
727,31,0.8,0.0,SRA
728,31,0.8,1.0,HA
729,31,0.8,1.0,NSA
730,31,0.8,0.0,naive SA
731,31,0.8,1.0,advanced SA
732,31,0.7,-1.0,RA
733,31,0.7,0.0,SRA
734,31,0.7,1.0,HA
735,31,0.7,1.0,NSA
736,31,0.7,1.0,naive SA
737,31,0.7,1.0,advanced SA
738,31,0.6,-1.0,RA
739,31,0.6,0.0,SRA
740,31,0.6,0.0,HA
741,31,0.6,1.0,NSA
742,31,0.6,0.0,naive SA
743,31,0.6,1.0,advanced SA
744,32,0.9,-1.0,RA
745,32,0.9,0.0,SRA
746,32,0.9,1.0,HA
747,32,0.9,1.0,NSA
748,32,0.9,1.0,naive SA
749,32,0.9,1.0,advanced SA
750,32,0.8,-1.0,RA
751,32,0.8,1.0,SRA
752,32,0.8,1.0,HA
753,32,0.8,1.0,NSA
754,32,0.8,0.0,naive SA
755,32,0.8,1.0,advanced SA
756,32,0.7,-1.0,RA
757,32,0.7,0.0,SRA
758,32,0.7,0.0,HA
759,32,0.7,1.0,NSA
760,32,0.7,1.0,naive SA
761,32,0.7,1.0,advanced SA
762,32,0.6,-1.0,RA
763,32,0.6,0.0,SRA
764,32,0.6,0.0,HA
765,32,0.6,1.0,NSA
766,32,0.6,0.0,naive SA
767,32,0.6,1.0,advanced SA
768,33,0.9,0.0,RA
769,33,0.9,0.0,SRA
770,33,0.9,0.0,HA
771,33,0.9,1.0,NSA
772,33,0.9,1.0,naive SA
773,33,0.9,1.0,advanced SA
774,33,0.8,-1.0,RA
775,33,0.8,0.0,SRA
776,33,0.8,1.0,HA
777,33,0.8,1.0,NSA
778,33,0.8,0.0,naive SA
779,33,0.8,1.0,advanced SA
780,33,0.7,-1.0,RA
781,33,0.7,0.0,SRA
782,33,0.7,1.0,HA
783,33,0.7,1.0,NSA
784,33,0.7,1.0,naive SA
785,33,0.7,1.0,advanced SA
786,33,0.6,-1.0,RA
787,33,0.6,0.0,SRA
788,33,0.6,1.0,HA
789,33,0.6,1.0,NSA
790,33,0.6,1.0,naive SA
791,33,0.6,1.0,advanced SA
792,34,0.9,-1.0,RA
793,34,0.9,0.0,SRA
794,34,0.9,1.0,HA
795,34,0.9,1.0,NSA
796,34,0.9,1.0,naive SA
797,34,0.9,1.0,advanced SA
798,34,0.8,-1.0,RA
799,34,0.8,0.0,SRA
800,34,0.8,1.0,HA
801,34,0.8,1.0,NSA
802,34,0.8,0.0,naive SA
803,34,0.8,1.0,advanced SA
804,34,0.7,-1.0,RA
805,34,0.7,1.0,SRA
806,34,0.7,1.0,HA
807,34,0.7,1.0,NSA
808,34,0.7,1.0,naive SA
809,34,0.7,1.0,advanced SA
810,34,0.6,-1.0,RA
811,34,0.6,0.0,SRA
812,34,0.6,0.0,HA
813,34,0.6,1.0,NSA
814,34,0.6,0.13,naive SA
815,34,0.6,1.0,advanced SA
816,35,0.9,-1.0,RA
817,35,0.9,0.0,SRA
818,35,0.9,1.0,HA
819,35,0.9,1.0,NSA
820,35,0.9,1.0,naive SA
821,35,0.9,1.0,advanced SA
822,35,0.8,-1.0,RA
823,35,0.8,0.0,SRA
824,35,0.8,1.0,HA
825,35,0.8,1.0,NSA
826,35,0.8,0.0,naive SA
827,35,0.8,1.0,advanced SA
828,35,0.7,-1.0,RA
829,35,0.7,0.0,SRA
830,35,0.7,1.0,HA
831,35,0.7,1.0,NSA
832,35,0.7,0.0,naive SA
833,35,0.7,1.0,advanced SA
834,35,0.6,-1.0,RA
835,35,0.6,0.0,SRA
836,35,0.6,1.0,HA
837,35,0.6,1.0,NSA
838,35,0.6,1.0,naive SA
839,35,0.6,1.0,advanced SA
840,36,0.9,-1.0,RA
841,36,0.9,0.0,SRA
842,36,0.9,1.0,HA
843,36,0.9,1.0,NSA
844,36,0.9,1.0,naive SA
845,36,0.9,1.0,advanced SA
846,36,0.8,-1.0,RA
847,36,0.8,0.0,SRA
848,36,0.8,0.0,HA
849,36,0.8,1.0,NSA
850,36,0.8,0.0,naive SA
851,36,0.8,1.0,advanced SA
852,36,0.7,-1.0,RA
853,36,0.7,0.0,SRA
854,36,0.7,0.0,HA
855,36,0.7,1.0,NSA
856,36,0.7,0.0,naive SA
857,36,0.7,1.0,advanced SA
858,36,0.6,-1.0,RA
859,36,0.6,0.0,SRA
860,36,0.6,1.0,HA
861,36,0.6,1.0,NSA
862,36,0.6,0.0,naive SA
863,36,0.6,1.0,advanced SA
864,37,0.9,-1.0,RA
865,37,0.9,0.0,SRA
866,37,0.9,1.0,HA
867,37,0.9,1.0,NSA
868,37,0.9,0.0,naive SA
869,37,0.9,1.0,advanced SA
870,37,0.8,-1.0,RA
871,37,0.8,0.0,SRA
872,37,0.8,0.0,HA
873,37,0.8,1.0,NSA
874,37,0.8,0.0,naive SA
875,37,0.8,1.0,advanced SA
876,37,0.7,-1.0,RA
877,37,0.7,0.0,SRA
878,37,0.7,1.0,HA
879,37,0.7,1.0,NSA
880,37,0.7,1.0,naive SA
881,37,0.7,1.0,advanced SA
882,37,0.6,-1.0,RA
883,37,0.6,0.0,SRA
884,37,0.6,1.0,HA
885,37,0.6,1.0,NSA
886,37,0.6,0.0,naive SA
887,37,0.6,1.0,advanced SA
888,38,0.9,-1.0,RA
889,38,0.9,0.0,SRA
890,38,0.9,1.0,HA
891,38,0.9,1.0,NSA
892,38,0.9,1.0,naive SA
893,38,0.9,1.0,advanced SA
894,38,0.8,-1.0,RA
895,38,0.8,0.0,SRA
896,38,0.8,1.0,HA
897,38,0.8,1.0,NSA
898,38,0.8,0.0,naive SA
899,38,0.8,1.0,advanced SA
900,38,0.7,-1.0,RA
901,38,0.7,0.0,SRA
902,38,0.7,1.0,HA
903,38,0.7,1.0,NSA
904,38,0.7,0.0,naive SA
905,38,0.7,1.0,advanced SA
906,38,0.6,-1.0,RA
907,38,0.6,0.0,SRA
908,38,0.6,0.0,HA
909,38,0.6,1.0,NSA
910,38,0.6,1.0,naive SA
911,38,0.6,1.0,advanced SA
912,39,0.9,-1.0,RA
913,39,0.9,0.0,SRA
914,39,0.9,1.0,HA
915,39,0.9,1.0,NSA
916,39,0.9,1.0,naive SA
917,39,0.9,1.0,advanced SA
918,39,0.8,0.0,RA
919,39,0.8,0.0,SRA
920,39,0.8,1.0,HA
921,39,0.8,1.0,NSA
922,39,0.8,1.0,naive SA
923,39,0.8,1.0,advanced SA
924,39,0.7,-1.0,RA
925,39,0.7,0.0,SRA
926,39,0.7,1.0,HA
927,39,0.7,1.0,NSA
928,39,0.7,1.0,naive SA
929,39,0.7,1.0,advanced SA
930,39,0.6,-1.0,RA
931,39,0.6,0.0,SRA
932,39,0.6,1.0,HA
933,39,0.6,1.0,NSA
934,39,0.6,1.0,naive SA
935,39,0.6,1.0,advanced SA
936,40,0.9,-1.0,RA
937,40,0.9,0.0,SRA
938,40,0.9,1.0,HA
939,40,0.9,1.0,NSA
940,40,0.9,1.0,naive SA
941,40,0.9,1.0,advanced SA
942,40,0.8,-1.0,RA
943,40,0.8,0.0,SRA
944,40,0.8,1.0,HA
945,40,0.8,1.0,NSA
946,40,0.8,1.0,naive SA
947,40,0.8,1.0,advanced SA
948,40,0.7,-1.0,RA
949,40,0.7,0.0,SRA
950,40,0.7,0.0,HA
951,40,0.7,1.0,NSA
952,40,0.7,0.0,naive SA
953,40,0.7,1.0,advanced SA
954,40,0.6,-1.0,RA
955,40,0.6,0.0,SRA
956,40,0.6,0.0,HA
957,40,0.6,1.0,NSA
958,40,0.6,1.0,naive SA
959,40,0.6,1.0,advanced SA
960,41,0.9,-1.0,RA
961,41,0.9,0.0,SRA
962,41,0.9,1.0,HA
963,41,0.9,1.0,NSA
964,41,0.9,1.0,naive SA
965,41,0.9,1.0,advanced SA
966,41,0.8,-1.0,RA
967,41,0.8,0.0,SRA
968,41,0.8,1.0,HA
969,41,0.8,1.0,NSA
970,41,0.8,1.0,naive SA
971,41,0.8,1.0,advanced SA
972,41,0.7,-1.0,RA
973,41,0.7,0.0,SRA
974,41,0.7,1.0,HA
975,41,0.7,1.0,NSA
976,41,0.7,0.0,naive SA
977,41,0.7,1.0,advanced SA
978,41,0.6,-1.0,RA
979,41,0.6,0.0,SRA
980,41,0.6,0.0,HA
981,41,0.6,1.0,NSA
982,41,0.6,0.0,naive SA
983,41,0.6,1.0,advanced SA
984,42,0.9,-1.0,RA
985,42,0.9,0.0,SRA
986,42,0.9,1.0,HA
987,42,0.9,1.0,NSA
988,42,0.9,1.0,naive SA
989,42,0.9,1.0,advanced SA
990,42,0.8,-1.0,RA
991,42,0.8,0.0,SRA
992,42,0.8,1.0,HA
993,42,0.8,1.0,NSA
994,42,0.8,1.0,naive SA
995,42,0.8,1.0,advanced SA
996,42,0.7,-1.0,RA
997,42,0.7,0.0,SRA
998,42,0.7,1.0,HA
999,42,0.7,1.0,NSA
1000,42,0.7,1.0,naive SA
1001,42,0.7,1.0,advanced SA
1002,42,0.6,-1.0,RA
1003,42,0.6,0.0,SRA
1004,42,0.6,1.0,HA
1005,42,0.6,1.0,NSA
1006,42,0.6,0.0,naive SA
1007,42,0.6,1.0,advanced SA
1008,43,0.9,-1.0,RA
1009,43,0.9,0.0,SRA
1010,43,0.9,1.0,HA
1011,43,0.9,1.0,NSA
1012,43,0.9,1.0,naive SA
1013,43,0.9,1.0,advanced SA
1014,43,0.8,-1.0,RA
1015,43,0.8,0.0,SRA
1016,43,0.8,0.0,HA
1017,43,0.8,1.0,NSA
1018,43,0.8,1.0,naive SA
1019,43,0.8,1.0,advanced SA
1020,43,0.7,-1.0,RA
1021,43,0.7,0.0,SRA
1022,43,0.7,0.0,HA
1023,43,0.7,1.0,NSA
1024,43,0.7,0.0,naive SA
1025,43,0.7,1.0,advanced SA
1026,43,0.6,-1.0,RA
1027,43,0.6,0.0,SRA
1028,43,0.6,1.0,HA
1029,43,0.6,1.0,NSA
1030,43,0.6,0.0,naive SA
1031,43,0.6,1.0,advanced SA
1032,44,0.9,-1.0,RA
1033,44,0.9,0.0,SRA
1034,44,0.9,0.0,HA
1035,44,0.9,1.0,NSA
1036,44,0.9,1.0,naive SA
1037,44,0.9,1.0,advanced SA
1038,44,0.8,-1.0,RA
1039,44,0.8,0.0,SRA
1040,44,0.8,0.0,HA
1041,44,0.8,1.0,NSA
1042,44,0.8,1.0,naive SA
1043,44,0.8,1.0,advanced SA
1044,44,0.7,-1.0,RA
1045,44,0.7,0.0,SRA
1046,44,0.7,1.0,HA
1047,44,0.7,1.0,NSA
1048,44,0.7,1.0,naive SA
1049,44,0.7,1.0,advanced SA
1050,44,0.6,-1.0,RA
1051,44,0.6,0.0,SRA
1052,44,0.6,1.0,HA
1053,44,0.6,1.0,NSA
1054,44,0.6,1.0,naive SA
1055,44,0.6,1.0,advanced SA
1056,45,0.9,-1.0,RA
1057,45,0.9,0.0,SRA
1058,45,0.9,0.0,HA
1059,45,0.9,1.0,NSA
1060,45,0.9,1.0,naive SA
1061,45,0.9,1.0,advanced SA
1062,45,0.8,0.0,RA
1063,45,0.8,0.0,SRA
1064,45,0.8,0.0,HA
1065,45,0.8,1.0,NSA
1066,45,0.8,0.0,naive SA
1067,45,0.8,1.0,advanced SA
1068,45,0.7,-1.0,RA
1069,45,0.7,0.0,SRA
1070,45,0.7,0.0,HA
1071,45,0.7,1.0,NSA
1072,45,0.7,0.0,naive SA
1073,45,0.7,1.0,advanced SA
1074,45,0.6,-1.0,RA
1075,45,0.6,0.0,SRA
1076,45,0.6,0.0,HA
1077,45,0.6,1.0,NSA
1078,45,0.6,1.0,naive SA
1079,45,0.6,1.0,advanced SA
1080,46,0.9,-1.0,RA
1081,46,0.9,0.0,SRA
1082,46,0.9,1.0,HA
1083,46,0.9,1.0,NSA
1084,46,0.9,1.0,naive SA
1085,46,0.9,1.0,advanced SA
1086,46,0.8,-1.0,RA
1087,46,0.8,0.0,SRA
1088,46,0.8,0.0,HA
1089,46,0.8,1.0,NSA
1090,46,0.8,1.0,naive SA
1091,46,0.8,1.0,advanced SA
1092,46,0.7,-1.0,RA
1093,46,0.7,0.0,SRA
1094,46,0.7,0.0,HA
1095,46,0.7,1.0,NSA
1096,46,0.7,0.0,naive SA
1097,46,0.7,1.0,advanced SA
1098,46,0.6,-1.0,RA
1099,46,0.6,0.0,SRA
1100,46,0.6,1.0,HA
1101,46,0.6,1.0,NSA
1102,46,0.6,1.0,naive SA
1103,46,0.6,1.0,advanced SA
1104,47,0.9,-1.0,RA
1105,47,0.9,0.0,SRA
1106,47,0.9,1.0,HA
1107,47,0.9,1.0,NSA
1108,47,0.9,0.0,naive SA
1109,47,0.9,1.0,advanced SA
1110,47,0.8,-1.0,RA
1111,47,0.8,0.0,SRA
1112,47,0.8,1.0,HA
1113,47,0.8,1.0,NSA
1114,47,0.8,0.0,naive SA
1115,47,0.8,1.0,advanced SA
1116,47,0.7,-1.0,RA
1117,47,0.7,0.0,SRA
1118,47,0.7,0.0,HA
1119,47,0.7,1.0,NSA
1120,47,0.7,0.0,naive SA
1121,47,0.7,1.0,advanced SA
1122,47,0.6,-1.0,RA
1123,47,0.6,0.0,SRA
1124,47,0.6,1.0,HA
1125,47,0.6,1.0,NSA
1126,47,0.6,0.0,naive SA
1127,47,0.6,1.0,advanced SA
1128,48,0.9,-1.0,RA
1129,48,0.9,0.0,SRA
1130,48,0.9,1.0,HA
1131,48,0.9,1.0,NSA
1132,48,0.9,1.0,naive SA
1133,48,0.9,1.0,advanced SA
1134,48,0.8,-1.0,RA
1135,48,0.8,0.0,SRA
1136,48,0.8,1.0,HA
1137,48,0.8,1.0,NSA
1138,48,0.8,0.0,naive SA
1139,48,0.8,1.0,advanced SA
1140,48,0.7,-1.0,RA
1141,48,0.7,0.0,SRA
1142,48,0.7,0.0,HA
1143,48,0.7,1.0,NSA
1144,48,0.7,0.0,naive SA
1145,48,0.7,1.0,advanced SA
1146,48,0.6,-1.0,RA
1147,48,0.6,0.0,SRA
1148,48,0.6,1.0,HA
1149,48,0.6,1.0,NSA
1150,48,0.6,1.0,naive SA
1151,48,0.6,1.0,advanced SA
1152,49,0.9,-1.0,RA
1153,49,0.9,0.0,SRA
1154,49,0.9,1.0,HA
1155,49,0.9,1.0,NSA
1156,49,0.9,0.0,naive SA
1157,49,0.9,1.0,advanced SA
1158,49,0.8,-1.0,RA
1159,49,0.8,0.0,SRA
1160,49,0.8,0.0,HA
1161,49,0.8,1.0,NSA
1162,49,0.8,0.0,naive SA
1163,49,0.8,1.0,advanced SA
1164,49,0.7,-1.0,RA
1165,49,0.7,0.0,SRA
1166,49,0.7,1.0,HA
1167,49,0.7,1.0,NSA
1168,49,0.7,1.0,naive SA
1169,49,0.7,1.0,advanced SA
1170,49,0.6,-1.0,RA
1171,49,0.6,0.0,SRA
1172,49,0.6,0.0,HA
1173,49,0.6,1.0,NSA
1174,49,0.6,0.0,naive SA
1175,49,0.6,1.0,advanced SA
1176,50,0.9,0.0,RA
1177,50,0.9,1.0,SRA
1178,50,0.9,1.0,HA
1179,50,0.9,1.0,NSA
1180,50,0.9,1.0,naive SA
1181,50,0.9,1.0,advanced SA
1182,50,0.8,0.0,RA
1183,50,0.8,0.0,SRA
1184,50,0.8,1.0,HA
1185,50,0.8,1.0,NSA
1186,50,0.8,0.0,naive SA
1187,50,0.8,1.0,advanced SA
1188,50,0.7,-1.0,RA
1189,50,0.7,0.0,SRA
1190,50,0.7,1.0,HA
1191,50,0.7,1.0,NSA
1192,50,0.7,0.0,naive SA
1193,50,0.7,1.0,advanced SA
1194,50,0.6,-1.0,RA
1195,50,0.6,0.0,SRA
1196,50,0.6,0.0,HA
1197,50,0.6,1.0,NSA
1198,50,0.6,1.0,naive SA
1199,50,0.6,1.0,advanced SA
